Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
"10278-1","Creator Expert","Modular Buildings Collection",2021,"Police Station",5,2923,159.99,199.99,269.99,179.99,5702016913729,,57.7,47.6,11.8,4.012,"",1,1,0,,0,1,,,,,,,,,173.6700,158.3900,"01/01/2021","31/12/2024"
"10279-1","Creator Expert","Vehicles",2021,"Volkswagen T2 Camper Van",,2207,139.99,179.99,249.99,159.99,5702016913736,,57.8,37.4,11.2,2.945,"",0,0,0,,0,0,,,,,,,,,177.2500,,"01/08/2021","31/12/2022"
"10280-1","Creator Expert","Botanical Collection",2021,"Flower Bouquet",,756,44.99,49.99,69.99,49.99,5702016913767,673419340526,26.2,38.2,7.1,,"",0,0,0,"Yes",1,1,,,,,,,,,52.9800,45.0000,"01/01/2021","31/12/2024"
"10281-1","Creator Expert","Botanical Collection",2021,"Bonsai Tree",,878,44.99,49.99,69.99,49.99,5702016914177,,26.2,38.2,7.1,,"",0,0,0,,0,0,,,,,,,,,48.9900,39.9500,"01/01/2021","31/12/2024"
"10282-1","Creator Expert","Adidas",2021,"Adidas Originals Superstar",,731,79.99,79.99,109.99,89.99,5702016914030,673419340281,32.2,11.2,19.7,,"",0,0,0,,0,0,,,,,,,,,88.1500,,"01/07/2021","31/12/2023"
"10282-2","Creator Expert","Adidas",2021,"Adidas Originals Superstar X Footshop 'Blueprinting'",,,79.99,79.99,109.99,89.99,5702016914030,,32.2,11.2,19.7,,"",0,0,0,,0,0,,,,,,,,,,,"01/07/2021","31/12/2023"
"10283-1","Creator Expert","Space",2021,"NASA Space Shuttle Discovery",,2354,159.99,199.99,269.99,179.99,5702016914061,673419340298,58.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,197.6000,151.0000,"01/04/2021","31/12/2024"
"10284-1","Creator Expert","Buildings",2021,"Camp Nou - FC Barcelona",,5509,289.99,349.99,449.99,329.99,5702016914276,,58.2,48,17,,"",0,0,0,,0,0,,,,,,,,,352.2700,302.7000,"01/09/2021","31/12/2022"
"10289-1","Creator Expert","Botanical Collection",2021,"Bird of Paradise",,1173,89.99,99.99,139.99,99.99,5702016973563,,28.2,48,9.1,,"",0,0,0,,0,0,,,,,,,,,101.0500,68.0000,"01/06/2021","31/12/2024"
"10290-1","Creator Expert","Vehicles",2021,"Pickup Truck",,1677,114.99,129.99,169.99,129.99,5702016972030,,48,28.2,11.8,1.978,"",0,0,0,,0,0,,,,,,,,,129.8900,109.0000,"01/10/2021","31/12/2024"
