set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used
011-1,191.68280912338062,191.68280912338062,191.68280912338062,1.0,37.57078066714972,37.57078066714972,37.57078066714972,1.0
033-2,159.7375404494508,159.7375404494508,159.7375404494508,1.0,67.09067976276735,67.09067976276735,67.09067976276735,1.0
10013-1,78.26758781309834,78.26758781309834,78.26758781309834,1.0,45.0,60.34106305075636,52.67053152537818,5.0
10014-1,100.77371821428972,125.0937755433383,116.98708976698877,3.0,64.37,93.81531445943378,78.3708075312848,6.0
10017-1,106.36106103528199,106.36106103528199,106.36106103528199,1.0,45.0,63.76401034610174,55.990252586525436,5.0
10019-1,939.269516678743,1679.5619702381618,1309.4157434584524,2.0,447.88319206350985,650.0,548.9415960317549,2.0
10022-1,475.0,475.0,475.0,1.0,266.0,266.0,266.0,2.0
10023-1,504.9882990516073,504.9882990516073,504.9882990516073,1.0,97.30262347579752,141.0832055000056,119.19291448790156,2.0
10024-1,670.7050801151059,704.4521375090573,690.0524058747211,3.0,295.0,295.0,295.0,1.0
10025-1,453.88482683716086,453.88482683716086,453.88482683716086,1.0,255.0,330.3138541468385,292.65692707341924,3.0
10029-1,225.0,279.9269950396936,252.4634975198468,10.0,228.108311193409,228.108311193409,228.108311193409,1.0
10030-1,1484.4195325859773,2239.415960317549,1861.9177464517632,2.0,861.9441322291254,7681.4802887582855,2676.4627726020035,4.0
10068-1,8.0,9.99,8.995000000000001,3.0,4.0,4.0,4.0,1.0
10070-1,7.0,7.0,7.0,1.0,4.0,4.0,4.0,1.0
10071-1,7.95,8.95,8.45,8.0,2.3189152269088225,2.3189152269088225,2.3189152269088225,1.0
10079-1,7.0,7.0,7.0,1.0,8.050881571532083,8.050881571532083,8.050881571532083,1.0
10090-1,9.0,11.197079801587746,10.098539900793874,6.0,14.250427512825382,14.250427512825382,14.250427512825382,1.0
100STORESNA-1,65.0,65.0,65.0,3.0,82.32,82.32,82.32,1.0
10124-1,503.8685910714486,503.8685910714486,503.8685910714486,1.0,341.5,341.5,341.5,1.0
10131-1,334.7926860674736,334.7926860674736,334.7926860674736,1.0,168.96,295.6963708911267,216.6550846720813,4.0
10134-1,783.7955861111423,1160.0174674444904,929.7308595251692,6.0,221.70218007143737,411.89465787322666,336.3337718856256,6.0
10143-1,4976.474935336863,4976.474935336863,4976.474935336863,1.0,826.3444893571757,1400.0,1113.172244678588,2.0
10144-1,470.2773516666853,559.8539900793872,521.8383220843187,3.0,189.991,324.70411716624307,254.54837238874768,3.0
10156-1,104.13284215476604,104.13284215476604,104.13284215476604,1.0,39.18977930555711,39.18977930555711,39.18977930555711,1.0
10178-1,550.0,761.4014265079667,620.8517136291049,3.0,215.0,521.543,306.5319750261379,8.0
10179-1,3247.1531424604464,3247.1531424604464,3247.1531424604464,1.0,1034.3329586749505,1736.44,1483.4412439444368,3.0
10181-1,2238.2962523373903,2238.2962523373903,2238.2962523373903,1.0,335.9123940476324,1119.7079801587745,651.870124735469,3.0
10183-1,450.0,615.839389087326,560.559592724884,4.0,382.41687464777397,382.41687464777397,382.41687464777397,1.0
10184-1,425.48903246033433,615.839389087326,481.47443146827305,4.0,198.1883124881031,329.76,260.75349584028487,4.0
10186-1,390.0,390.0,390.0,1.0,275.0,275.0,275.0,1.0
10187-1,985.3430225397217,985.3430225397217,985.3430225397217,1.0,691.3077069500274,691.3077069500274,691.3077069500274,1.0
10188-1,727.8101871032035,950.0,826.5925467758009,4.0,669.5853721349472,669.5853721349472,669.5853721349472,1.0
10189-1,1244.1187338342158,1244.1187338342158,1244.1187338342158,1.0,376.2218813333483,500.0,455.74952747534303,4.0
10193-1,446.76348408335105,644.0,512.9914776141654,3.0,290.0,353.7858813364914,311.26196044549715,3.0
10195-1,1769.138608650864,2385.583554732577,2145.2684251058436,3.0,1175.0,1585.9772033015909,1380.4886016507953,2.0
10196-1,1543.0856345436491,1543.0856345436491,1543.0856345436491,1.0,2000.0,9937.471486461101,5968.735743230551,2.0
10197-1,311.39078928215525,919.08,649.5568952068337,7.0,587.8466895833567,671.8247880952648,629.8357388393108,2.0
10198-1,415.6374691240737,895.7663841270197,570.7918343336111,4.0,179.15327682540394,242.92064629544615,211.03696156042503,2.0
10199-1,245.0,284.0,269.63859931996404,4.0,140.0,159.797,149.8985,2.0
10200-1,134.35376053925137,134.35376053925137,134.35376053925137,3.0,75.0,134.1813595255347,104.59067976276735,2.0
10210-1,1375.0,1375.0,1375.0,1.0,1200.0,1200.0,1200.0,1.0
