set_number,min_value_new,max_value_new,mean_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used,RRP (USD),Year,Theme,Pieces
10013-1,78.26758781309834,78.26758781309834,78.26758781309834,1.0,45.0,60.34106305075636,52.67053152537818,5.0,17.0,2001,Trains,121.0
10014-1,100.77371821428972,125.0937755433383,116.98708976698876,3.0,64.37,93.81531445943378,78.3708075312848,6.0,15.0,2001,Trains,170.0
10017-1,106.361061035282,106.361061035282,106.361061035282,1.0,45.0,63.76401034610174,55.99025258652544,5.0,20.0,2001,Trains,228.0
10019-1,939.269516678743,1679.5619702381618,1309.4157434584524,2.0,447.88319206350985,650.0,548.9415960317549,2.0,200.0,2001,Star Wars,1747.0
10022-1,475.0,475.0,475.0,1.0,266.0,266.0,266.0,2.0,35.0,2002,Trains,411.0
10023-1,504.9882990516073,504.9882990516073,504.9882990516073,1.0,97.30262347579752,141.0832055000056,119.19291448790156,2.0,12.99,2002,Bionicle,112.0
10024-1,670.7050801151059,704.4521375090573,690.0524058747211,3.0,295.0,295.0,295.0,1.0,50.0,2002,Creator Expert,664.0
10025-1,453.88482683716086,453.88482683716086,453.88482683716086,1.0,255.0,330.3138541468385,292.65692707341924,3.0,35.0,2002,Trains,326.0
10029-1,225.0,279.9269950396936,252.4634975198468,10.0,228.108311193409,228.108311193409,228.108311193409,1.0,40.0,2003,Discovery,453.0
10030-1,1484.419532585977,2239.415960317549,1861.9177464517632,2.0,861.9441322291254,7681.480288758285,2676.4627726020035,4.0,269.99,2002,Star Wars,3096.0
10068-1,8.0,9.99,8.995000000000001,3.0,4.0,4.0,4.0,1.0,2.5,2002,Seasonal,39.0
10070-1,7.0,7.0,7.0,1.0,4.0,4.0,4.0,1.0,2.5,2002,Seasonal,26.0
10071-1,7.95,8.95,8.45,8.0,2.3189152269088225,2.3189152269088225,2.3189152269088225,1.0,2.5,2003,Seasonal,25.0
10079-1,7.0,7.0,7.0,1.0,8.050881571532083,8.050881571532083,8.050881571532083,1.0,2.5,2003,Seasonal,42.0
10090-1,9.0,11.197079801587746,10.098539900793874,6.0,14.250427512825382,14.250427512825382,14.250427512825382,1.0,3.5,2003,Seasonal,54.0
10124-1,503.8685910714486,503.8685910714486,503.8685910714486,1.0,341.5,341.5,341.5,1.0,60.0,2003,Creator Expert,670.0
10131-1,334.7926860674736,334.7926860674736,334.7926860674736,1.0,168.96,295.6963708911267,216.6550846720813,4.0,70.0,2004,Star Wars,682.0
10134-1,783.7955861111423,1160.0174674444904,929.7308595251692,6.0,221.70218007143737,411.89465787322666,336.3337718856256,6.0,120.0,2004,Star Wars,1473.0
10143-1,4976.474935336863,4976.474935336863,4976.474935336863,1.0,826.3444893571757,1400.0,1113.172244678588,2.0,269.99,2005,Star Wars,3441.0
10144-1,470.2773516666853,559.8539900793872,521.8383220843187,3.0,189.991,324.70411716624307,254.54837238874768,3.0,139.99,2005,Star Wars,1669.0
