Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,Flag 1 not used,Flag 2 not used,Flag 3 not used,Flag 4 not used,Flag 5 not used,Flag 6 not used,Flag 7 not used,Flag 8 not used,Value new (USD),Value used (USD),Launch date,Exit date
819-1,Basic,Supplementaries,1991,Blue baseplate,,1.0,,5.5,,,,,,,,,,0,0,0,,0,0,,,,,,,,,6.26,,,
1040-1,Dacta,,1991,Farm,4.0,89.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,
1474-1,Basic,Universal Building Set,1991,Basic Building Set with Gift Item,1.0,69.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,24.64,,,
1475-1,Town,Flight,1991,Airport Security Squad,2.0,123.0,,10.0,,,,,,,,,,0,0,0,,0,0,,,,,,,,,165.9,49.8,,
1476-1,Assorted,Bonus/Value Pack,1991,Five Set Bonus Pack,,158.0,,,,,,42884014766.0,,,,,,0,0,0,,0,0,,,,,,,,,450.0,100.0,,
1477-1,Town,Racing,1991,Red Race Car Number 3,1.0,39.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,71.38,5.24,,
1478-1,Space,M-Tron,1991,Mobile Satellite Up-Link,1.0,31.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,190.52,19.07,,
1479-1,Space,Blacktron 2,1991,Two-Pilot Craft,2.0,34.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,21.77,,
1480-1,Castle,Crusaders,1991,King's Catapult,1.0,33.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,15.9,,
1481-1,Pirates,,1991,Pirates Desert Island,1.0,21.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,189.42,17.74,,
1483-1,Duplo,,1991,Sailor and Parrot,,19.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,
1548-1,Promotional,Ferries,1991,Stena Line Ferry,,172.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,312.32,106.35,,
1591-2,Duplo,,1991,Duplo Bucket,2.0,32.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,
1610-1,Town,Police,1991,Police Car,,23.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,24.04,8.3,,
1611-1,Town,Racing,1991,Red Race Car,,21.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,15.0,8.15,,
1635-1,Duplo,,1991,Fire Dispatch,2.0,18.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,
1656-1,Town,Fire,1991,Evacuation Team,2.0,236.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,150.0,32.7,,
1666-1,Basic,,1991,Brick Vac,1.0,132.0,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,29.99,,
