set_number,Year,Pieces,Minifigs,retale_price,resale_price,Launch date,Exit date,Theme,years_in_retirement,total_price_increase,average_increase_per_year,percentage_increase_per_year,adjusted_value_new,total_price_increase_real,percentage_increase_per_year_real,average_increase_per_year_real,Subtheme
1817-1,1996,135.0,3.0,15.0,53.95,01/03/1996,2001-12-31,Town,21,38.95,1.8547619047619048,3.4379275343130766,35.59490531488206,20.594905314882062,1.8178123760873877,0.9807097768991458,Special
4559-1,1996,842.0,7.0,130.0,585.0,01/07/1996,1999-01-30,Trains,23,455.0,19.782608695652176,3.381642512077295,370.9812118531085,240.9812118531085,1.7910160672843443,10.477443993613413,9V
4565-1,1996,914.0,3.0,140.0,547.04,01/09/1996,2002-12-31,Trains,20,407.03999999999996,20.351999999999997,3.7203860778005264,368.1422380634317,228.1422380634317,2.0852427433408134,11.407111903171586,9V
6024-1,1996,59.0,2.0,6.5,132.69,01/06/1996,1998-12-31,Castle,24,126.19,5.257916666666667,3.962556836737257,82.49622423460528,75.99622423460528,2.386396369815776,3.166509343108553,Dark Forest
6135-1,1996,57.0,1.0,8.75,20.0,01/01/1996,1997-12-31,Aquazone,25,11.25,0.45,2.25,12.190617410565578,3.4406174105655776,0.6881234821131155,0.1376246964226231,Aquasharks
6145-1,1996,96.0,1.0,12.0,121.25,01/04/1996,1998-12-31,Aquazone,24,109.25,4.552083333333333,3.7542955326460485,75.3837304125849,63.383730412584896,2.178135065724567,2.6409887671910375,Aquanauts
6190-1,1996,258.0,2.0,50.0,480.63,01/07/1996,1997-12-31,Aquazone,25,430.63,17.2252,3.583879491500739,292.9588223020067,242.9588223020067,2.0220029736138545,9.718352892080269,Aquasharks
6244-1,1996,71.0,1.0,8.75,100.67,01/04/1996,1996-12-31,Pirates,26,91.92,3.5353846153846153,3.511855185640822,60.1583066040018,51.4083066040018,1.9640832042240755,1.977242561692377,Imperial Armada
6334-1,1996,181.0,4.0,20.0,90.37,01/07/1996,1997-12-31,Town,25,70.37,2.8148,3.1147504702888127,55.08330476964057,35.08330476964057,1.5528739524019284,1.4033321907856229,Leisure
6337-1,1996,329.0,6.0,40.0,312.54,01/07/1996,1997-12-31,Town,25,272.54,10.9016,3.4880655276124655,190.5027782749083,150.5027782749083,1.9261890097255816,6.020111130996332,Racing
6518-1,1996,37.0,1.0,3.5,15.14,01/07/1996,1997-12-31,Town,25,11.64,0.4656,3.0752972258916778,9.228297379798143,5.728297379798143,1.5134207080047932,0.2291318951919257,Coastguard
