Number,Theme,Subtheme,Year,RRP (USD),Minifigs,Pieces,Launch date,Retired Date,min_value_new,max_value_new,quantity_new,min_value_used,max_value_used,mean_value_used,quantity_used,final_value_new
819-1,Basic,Supplementaries,1991.0,5.5,,1.0,,,,,,,,,,6.26
1475-1,Town,Flight,1991.0,10.0,2.0,123.0,,,,,,,,,,165.9
2660-1,Duplo,,1991.0,5.25,,5.0,,,,,,,,,,13.5
2671-1,Duplo,,1991.0,13.25,2.0,7.0,,,,,,,,,,22.74
4011-1,Boats,,1991.0,19.75,2.0,90.0,,,,,,,,,,112.94
4021-1,Boats,,1991.0,34.0,3.0,195.0,,,200.0,200.0,1.0,27.99269950396937,33.591239404763236,30.791969454366303,2.0,200.0
4031-1,Boats,,1991.0,52.0,4.0,361.0,,,400.0,400.0,1.0,95.17517831349583,195.937699447984,126.97886924423445,6.0,400.0
4515-1,Trains,9V,1991.0,12.99,,8.0,,,55.0,61.47196811071672,5.0,33.591239404763236,44.788319206350984,39.18977930555711,10.0,58.23598405535836
4520-1,Trains,9V,1991.0,12.99,,8.0,,,19.43289985252715,83.9780985119081,14.0,4.478831920635098,5.598539900793873,5.038685910714486,2.0,33.56734674653025
4531-1,Trains,9V,1991.0,27.99,,6.0,,,45.48029873808911,53.61978817535864,6.0,33.591239404763236,33.591239404763236,33.591239404763236,2.0,48.67218788431902
4536-1,Trains,9V,1991.0,15.0,,166.0,,,,,,,,,,154.17
4539-1,Trains,9V,1991.0,25.0,1.0,110.0,,,,,,,,,,210.0
4543-1,Trains,9V,1991.0,22.0,1.0,178.0,,,,,,,,,,358.69
4546-1,Trains,9V,1991.0,10.0,1.0,77.0,,,109.95,109.95,1.0,20.12720392883021,35.17002765678711,28.696400346661207,3.0,109.95
4548-1,Trains,9V,1991.0,41.99,,3.0,,,373.2322610263243,373.2322610263243,4.0,79.07937609871345,79.07937609871345,79.07937609871345,1.0,373.2322610263243
4554-1,Trains,9V,1991.0,72.0,8.0,600.0,,,,,,,,,,550.0
4558-1,Trains,9V,1991.0,149.0,11.0,784.0,,,,,,,,,,953.25
4563-1,Trains,9V,1991.0,120.0,3.0,476.0,,,,,,,,,,497.26
5042-1,Service Packs,,1991.0,2.5,,50.0,,,,,,,,,,13.99
5043-1,Service Packs,,1991.0,2.5,,26.0,,,,,,,,,,14.55
5099-1,Service Packs,Technic,1991.0,2.25,,1.0,,,,,,,,,,3.96
5114-1,Service Packs,,1991.0,16.0,,1.0,,,,,,,,,,17.37
5115-1,Service Packs,,1991.0,11.0,,1.0,,,,,,,,,,16.85
5155-1,Service Packs,,1991.0,3.5,,19.0,,,,,,,,,,9.21
5156-1,Service Packs,,1991.0,3.5,,17.0,,,,,,,,,,26.08
5157-1,Service Packs,,1991.0,3.5,,32.0,,,,,,,,,,24.79
5158-1,Service Packs,Town,1991.0,6.0,,2.0,,,,,,,,,,15.64
5164-1,Service Packs,,1991.0,2.5,,17.0,,,,,,,,,,11.62
5165-1,Service Packs,,1991.0,3.0,,31.0,,,,,,,,,,20.0
5272-1,Service Packs,Technic,1991.0,3.0,,9.0,,,,,,,,,,3.67
5300-1,Service Packs,Trains,1991.0,25.0,,3.0,,,,,,,,,,54.2
5550-1,Model Team,,1991.0,49.5,,525.0,,,446.76348408335105,446.76348408335105,1.0,56.545252998018114,105.8124041250042,74.64719867725164,3.0,446.76348408335105
6234-1,Pirates,,1991.0,3.25,1.0,38.0,,,62.991,62.991,1.0,10.077371821428972,13.784210562608171,11.974950029976764,6.0,62.991
6259-1,Pirates,Imperial Guards,1991.0,8.75,3.0,68.0,,,89.991,187.8539033357486,2.0,35.39,53.67254381021389,42.50683068480532,6.0,138.9224516678743
6267-1,Pirates,Imperial Guards,1991.0,29.0,5.0,193.0,,,972.8148565601268,972.8148565601268,1.0,55.55,175.0,102.46321946397865,7.0,972.8148565601268
6273-1,Pirates,,1991.0,66.0,7.0,381.0,,,,,,,,,,1300.0
6347-1,Town,Monorail,1991.0,35.0,,54.0,,,,,,,,,,373.89
6353-1,Town,Coastguard,1991.0,19.0,2.0,185.0,,,187.8539033357486,187.8539033357486,1.0,21.0,41.56374691240737,31.220786976228567,6.0,187.8539033357486
6430-1,Town,Police,1991.0,25.0,1.0,140.0,,,,,,,,,,268.27
6440-1,Town,Fire,1991.0,27.5,2.0,159.0,,,,,,,,,,250.0
6510-1,Town,Vehicles,1991.0,3.25,1.0,34.0,,,,,,,,,,30.5
6540-1,Town,Police,1991.0,44.0,4.0,352.0,,,500.0,500.0,1.0,60.38161178649062,175.0,98.45220965898444,7.0,500.0
6541-1,Town,Boats,1991.0,63.75,5.0,545.0,,,,,,,,,,369.0
6646-1,Town,Racing,1991.0,6.75,1.0,65.0,,,80.50881571532084,80.50881571532084,1.0,7.714787983293957,8.957663841270197,8.358620071885252,7.0,80.50881571532084
6669-1,Town,Vehicles,1991.0,8.75,1.0,90.0,,,,,,,,,,39.4
6679-1,Town,Boats,1991.0,7.74,2.0,83.0,,,107.34508762042778,133.24524963889417,2.0,5.587342820992285,25.494458309851595,11.581563094885391,7.0,120.29516862966096
6878-1,Space,Blacktron 2,1991.0,8.0,1.0,69.0,,,,,,,,,,61.24
6887-1,Space,Blacktron 2,1991.0,7.93,1.0,100.0,,,,,,,,,,250.0
6933-1,Space,Blacktron 2,1991.0,25.0,2.0,208.0,,,,,,,,,,500.0
6988-1,Space,Blacktron 2,1991.0,80.0,5.0,406.0,,,,,,,,,,736.25
8810-1,Technic,,1991.0,10.0,,80.0,,,,,,,,,,34.02
8838-1,Technic,,1991.0,29.75,,251.0,,,,,,,,,,110.0
846-1,Basic,Supplementaries,1992.0,18.0,,39.0,,,,,,,,,,59.3
1462-1,Space,Blacktron 2,1992.0,2.0,1.0,23.0,,,,,,,,,,60.0
1463-1,Castle,Crusaders,1992.0,2.0,1.0,23.0,,,72.0,72.0,1.0,9.954203943611509,21.274451623016716,15.592437492302007,4.0,72.0
1891-1,Assorted,Bonus/Value Pack,1992.0,12.0,5.0,160.0,,,,,,,,,,49.0
2304-1,Duplo,,1992.0,14.99,,1.0,,,,,,,,,,10.49
2930-1,Duplo,Toolo,1992.0,30.0,2.0,29.0,,,,,,,,,,52.61
2940-1,Duplo,Toolo,1992.0,45.0,2.0,34.0,,,,,,,,,,91.08
5098-1,Service Packs,Toolo,1992.0,2.75,,1.0,,,,,,,,,,4.23
5116-1,Service Packs,Technic,1992.0,3.25,,1.0,,,,,,,,,,9.27
5274-1,Service Packs,,1992.0,4.5,,16.0,,,,,,,,,,7.38
5301-1,Service Packs,Trains,1992.0,3.0,,1.0,,,,,,,,,,24.01
5302-1,Service Packs,Trains,1992.0,2.0,,2.0,,,,,,,,,,13.19
5303-1,Service Packs,Trains,1992.0,3.0,,6.0,,,,,,,,,,10.97
5304-1,Service Packs,Trains,1992.0,3.0,,2.0,,,,,,,,,,8.23
5305-1,Service Packs,Trains,1992.0,6.0,,1.0,,,,,,,,,,39.95
6009-1,Castle,Black Knights,1992.0,3.25,1.0,24.0,,,,,,,,,,119.79
6038-1,Castle,Wolfpack,1992.0,8.0,2.0,100.0,,,202.0,202.0,1.0,40.25440785766042,73.7997477390441,53.572559500579075,6.0,202.0
6057-1,Castle,Black Knights,1992.0,16.5,5.0,126.0,,,335.45339881383677,335.45339881383677,2.0,46.96347583393715,75.09028480393401,61.02688031893558,2.0,335.45339881383677
6075-1,Castle,Wolfpack,1992.0,29.75,4.0,236.0,,,,,,,,,,434.11
6086-1,Castle,Black Knights,1992.0,85.0,12.0,588.0,,,,,,,,,,430.0
6247-1,Pirates,Imperial Guards,1992.0,4.75,3.0,36.0,,,141.4,141.4,1.0,19.03503566269917,60.0,39.517517831349586,3.0,141.4
6258-1,Pirates,,1992.0,9.25,3.0,70.0,,,128.76641771825908,128.76641771825908,1.0,22.394159603175492,35.83065536508079,29.66755293419476,6.0,128.76641771825908
6261-1,Pirates,,1992.0,13.25,3.0,81.0,,,,,,,,,,192.9
6271-1,Pirates,Imperial Guards,1992.0,50.0,4.0,317.0,,,1274.72291549258,1274.72291549258,1.0,316.53781412462206,335.45339881383677,322.84300902102694,3.0,1274.72291549258
6277-1,Pirates,Imperial Guards,1992.0,85.0,9.0,608.0,,,2020.0,2020.0,1.0,446.8799809328031,677.4233279960587,554.0747529388176,6.0,2020.0
6314-1,Town,Accessories,1992.0,7.25,6.0,33.0,,,,,,,,,,31.56
6346-1,Town,Flight,1992.0,38.5,5.0,408.0,,,61.583938908732605,368.9987386952205,2.0,55.42554501785934,100.0,70.2471379385135,8.0,215.29133880197656
6351-1,Town,Leisure,1992.0,19.0,2.0,188.0,,,,,,,,,,135.2
6397-1,Town,Shops and Services,1992.0,52.0,3.0,470.0,,,,,,,,,,175.0
6401-1,Town,Paradisa,1992.0,6.75,2.0,45.0,,,,,,,,,,50.07
6405-1,Town,Paradisa,1992.0,16.0,2.0,133.0,,,,,,,,,,79.33
6411-1,Town,Paradisa,1992.0,29.75,5.0,168.0,,,228.108311193409,228.108311193409,1.0,120.76322357298125,120.76322357298125,120.76322357298125,1.0,228.108311193409
6416-1,Town,Paradisa,1992.0,38.5,4.0,229.0,,,,,,,,,,396.69
6419-1,Town,Paradisa,1992.0,46.0,3.0,364.0,,,,,,,,,,358.36
6511-1,Town,Fire,1992.0,7.0,1.0,38.0,,,,,,,,,,22.72
6512-1,Town,Construction,1992.0,3.25,1.0,37.0,,,,,,,,,,32.45
6533-1,Town,Police,1992.0,4.75,1.0,62.0,,,,,,,,,,45.59
6534-1,Town,Leisure,1992.0,4.75,1.0,44.0,,,61.583938908732605,61.583938908732605,1.0,8.834495963452731,24.622378483691453,12.430187335232498,8.0,61.583938908732605
6551-1,Town,Racing,1992.0,26.5,6.0,193.0,,,,,,,,,,139.15
6594-1,Town,Vehicles,1992.0,13.25,1.0,124.0,,,,,,,,,,130.62
6648-1,Town,Racing,1992.0,7.25,1.0,62.0,,,,,,,,,,24.69
6662-1,Town,Construction,1992.0,7.25,1.0,85.0,,,,,,,,,,70.19
6668-1,Town,Maintenance,1992.0,9.25,1.0,109.0,,,,,,,,,,138.82
6897-1,Space,Space Police 2,1992.0,21.0,2.0,140.0,,,,,,,,,,221.24
6957-1,Space,Space Police 2,1992.0,36.0,3.0,255.0,,,,,,,,,,199.0
6984-1,Space,Space Police 2,1992.0,60.0,3.0,406.0,,,,,,,,,,1178.3
8826-1,Technic,,1992.0,10.0,,95.0,,,,,,,,,,26.9
8828-1,Technic,,1992.0,21.0,,175.0,,,53.67254381021389,53.67254381021389,1.0,15.395984727183151,29.51989909561764,24.224385529410824,7.0,53.67254381021389
8836-1,Technic,,1992.0,29.75,,273.0,,,155.63940924206966,155.63940924206966,1.0,20.154743642857945,26.836271905106944,24.144040935329016,4.0,155.63940924206966
8837-1,Technic,,1992.0,47.0,,257.0,,,,,,,,,,119.99
8839-1,Technic,,1992.0,59.5,,532.0,,,201.27203928830207,278.8072870595349,3.0,78.37955861111422,147.5994954780882,112.9895270446012,2.0,229.82157287917593
8868-1,Technic,,1992.0,139.0,,954.0,,,,,,,,,,683.43
9604-1,Dacta,,1992.0,36.95,,124.0,,,,,,,,,,72.15
1547-1,Castle,Black Knights,1993.0,4.25,2.0,58.0,,,,,,,,,,81.0
1596-1,Castle,Wolfpack,1993.0,4.25,2.0,37.0,,,,,,,,,,321.42
1597-1,Castle,Bonus/Value Pack,1993.0,8.0,,117.0,,,,,,,,,,550.0
1916-1,Space,Space Police 2,1993.0,2.0,1.0,23.0,,,,,,,,,,38.13
1967-1,Assorted,Bonus/Value Pack,1993.0,10.0,,156.0,,,,,,,,,,180.0
1992-1,Town,Racing,1993.0,7.75,2.0,104.0,,,,,,,,,,16.98
2733-1,Duplo,Trains,1993.0,20.0,1.0,9.0,,,,,,,,,,55.0
2734-1,Duplo,Trains,1993.0,4.99,,6.0,,,,,,,,,,11.77
2735-1,Duplo,Trains,1993.0,4.99,,6.0,,,,,,,,,,10.93
2736-1,Duplo,Trains,1993.0,12.0,,4.0,,,,,,,,,,22.2
2737-1,Duplo,Trains,1993.0,9.0,,9.0,,,,,,,,,,24.71
2740-1,Duplo,Trains,1993.0,10.0,,7.0,,,,,,,,,,16.29
4537-1,Trains,9V,1993.0,23.0,1.0,174.0,,,,,,,,,,240.98
4547-1,Trains,9V,1993.0,37.5,5.0,293.0,,,,,,,,,,630.59
4549-1,Trains,9V,1993.0,52.0,2.0,451.0,,,,,,,,,,250.0
5011-1,Service Packs,,1993.0,27.0,,1.0,,,,,,,,,,8.68
5047-1,Service Packs,,1993.0,3.5,,27.0,,,,,,,,,,16.38
5049-1,Service Packs,,1993.0,3.5,,8.0,,,,,,,,,,25.51
5050-1,Service Packs,Town,1993.0,3.5,,27.0,,,,,,,,,,13.24
