Number,Theme,Subtheme,Year,RRP (USD),Value new (USD)
819-1,Basic,Supplementaries,1991,5.5,6.26
1475-1,Town,Flight,1991,10.0,165.9
2660-1,Duplo,,1991,5.25,13.5
2671-1,Duplo,,1991,13.25,22.74
4011-1,Boats,,1991,19.75,112.94
4021-1,Boats,,1991,34.0,249.95
4031-1,Boats,,1991,52.0,239.27
4515-1,Trains,9V,1991,12.99,50.3
4520-1,Trains,9V,1991,12.99,16.01
4531-1,Trains,9V,1991,27.99,45.75
4536-1,Trains,9V,1991,15.0,154.17
4539-1,Trains,9V,1991,25.0,210.0
4543-1,Trains,9V,1991,22.0,358.69
4546-1,Trains,9V,1991,10.0,107.28
4548-1,Trains,9V,1991,41.99,89.94
4554-1,Trains,9V,1991,72.0,550.0
4558-1,Trains,9V,1991,149.0,953.25
4563-1,Trains,9V,1991,120.0,497.26
5042-1,Service Packs,,1991,2.5,13.99
5043-1,Service Packs,,1991,2.5,14.55
5099-1,Service Packs,Technic,1991,2.25,3.96
5114-1,Service Packs,,1991,16.0,17.37
5115-1,Service Packs,,1991,11.0,16.85
5155-1,Service Packs,,1991,3.5,9.21
5156-1,Service Packs,,1991,3.5,26.08
5157-1,Service Packs,,1991,3.5,24.79
5158-1,Service Packs,Town,1991,6.0,15.64
5164-1,Service Packs,,1991,2.5,11.62
5165-1,Service Packs,,1991,3.0,20.0
5272-1,Service Packs,Technic,1991,3.0,3.67
5300-1,Service Packs,Trains,1991,25.0,54.2
5550-1,Model Team,,1991,49.5,345.03
6234-1,Pirates,,1991,3.25,119.11
6259-1,Pirates,Imperial Guards,1991,8.75,215.0
6267-1,Pirates,Imperial Guards,1991,29.0,469.4
6273-1,Pirates,,1991,66.0,1300.0
6347-1,Town,Monorail,1991,35.0,373.89
6353-1,Town,Coastguard,1991,19.0,242.21
6430-1,Town,Police,1991,25.0,268.27
6440-1,Town,Fire,1991,27.5,250.0
6510-1,Town,Vehicles,1991,3.25,30.5
6540-1,Town,Police,1991,44.0,424.79
6541-1,Town,Boats,1991,63.75,369.0
6646-1,Town,Racing,1991,6.75,68.99
6669-1,Town,Vehicles,1991,8.75,39.4
6679-1,Town,Boats,1991,7.74,64.52
6878-1,Space,Blacktron 2,1991,8.0,61.24
6887-1,Space,Blacktron 2,1991,7.93,250.0
6933-1,Space,Blacktron 2,1991,25.0,500.0
6988-1,Space,Blacktron 2,1991,80.0,736.25
8810-1,Technic,,1991,10.0,34.02
8838-1,Technic,,1991,29.75,110.0
846-1,Basic,Supplementaries,1992,18.0,59.3
1462-1,Space,Blacktron 2,1992,2.0,60.0
1463-1,Castle,Crusaders,1992,2.0,40.0
1891-1,Assorted,Bonus/Value Pack,1992,12.0,49.0
2304-1,Duplo,,1992,14.99,10.49
2930-1,Duplo,Toolo,1992,30.0,52.61
2940-1,Duplo,Toolo,1992,45.0,91.08
5098-1,Service Packs,Toolo,1992,2.75,4.23
5116-1,Service Packs,Technic,1992,3.25,9.27
5274-1,Service Packs,,1992,4.5,7.38
5301-1,Service Packs,Trains,1992,3.0,24.01
5302-1,Service Packs,Trains,1992,2.0,13.19
5303-1,Service Packs,Trains,1992,3.0,10.97
5304-1,Service Packs,Trains,1992,3.0,8.23
5305-1,Service Packs,Trains,1992,6.0,39.95
6009-1,Castle,Black Knights,1992,3.25,119.79
6038-1,Castle,Wolfpack,1992,8.0,159.6
6057-1,Castle,Black Knights,1992,16.5,250.0
6075-1,Castle,Wolfpack,1992,29.75,434.11
6086-1,Castle,Black Knights,1992,85.0,430.0
6247-1,Pirates,Imperial Guards,1992,4.75,116.17
6258-1,Pirates,,1992,9.25,125.36
6261-1,Pirates,,1992,13.25,192.9
6271-1,Pirates,Imperial Guards,1992,50.0,1093.19
6277-1,Pirates,Imperial Guards,1992,85.0,1466.33
6314-1,Town,Accessories,1992,7.25,31.56
6346-1,Town,Flight,1992,38.5,395.19
6351-1,Town,Leisure,1992,19.0,135.2
6397-1,Town,Shops and Services,1992,52.0,175.0
6401-1,Town,Paradisa,1992,6.75,50.07
6405-1,Town,Paradisa,1992,16.0,79.33
6411-1,Town,Paradisa,1992,29.75,286.02
6416-1,Town,Paradisa,1992,38.5,396.69
6419-1,Town,Paradisa,1992,46.0,358.36
6511-1,Town,Fire,1992,7.0,22.72
6512-1,Town,Construction,1992,3.25,32.45
6533-1,Town,Police,1992,4.75,45.59
6534-1,Town,Leisure,1992,4.75,36.61
6551-1,Town,Racing,1992,26.5,139.15
6594-1,Town,Vehicles,1992,13.25,130.62
6648-1,Town,Racing,1992,7.25,24.69
6662-1,Town,Construction,1992,7.25,70.19
6668-1,Town,Maintenance,1992,9.25,138.82
6897-1,Space,Space Police 2,1992,21.0,221.24
6957-1,Space,Space Police 2,1992,36.0,199.0
6984-1,Space,Space Police 2,1992,60.0,1178.3
8826-1,Technic,,1992,10.0,26.9
8828-1,Technic,,1992,21.0,59.49
8836-1,Technic,,1992,29.75,54.31
8837-1,Technic,,1992,47.0,119.99
8839-1,Technic,,1992,59.5,128.21
8868-1,Technic,,1992,139.0,683.43
9604-1,Dacta,,1992,36.95,72.15
1547-1,Castle,Black Knights,1993,4.25,81.0
1596-1,Castle,Wolfpack,1993,4.25,321.42
1597-1,Castle,Bonus/Value Pack,1993,8.0,550.0
1916-1,Space,Space Police 2,1993,2.0,38.13
1967-1,Assorted,Bonus/Value Pack,1993,10.0,180.0
1992-1,Town,Racing,1993,7.75,16.98
2733-1,Duplo,Trains,1993,20.0,55.0
2734-1,Duplo,Trains,1993,4.99,11.77
2735-1,Duplo,Trains,1993,4.99,10.93
2736-1,Duplo,Trains,1993,12.0,22.2
2737-1,Duplo,Trains,1993,9.0,24.71
2740-1,Duplo,Trains,1993,10.0,16.29
4537-1,Trains,9V,1993,23.0,240.98
4547-1,Trains,9V,1993,37.5,630.59
4549-1,Trains,9V,1993,52.0,250.0
5011-1,Service Packs,,1993,27.0,8.68
5047-1,Service Packs,,1993,3.5,16.38
5049-1,Service Packs,,1993,3.5,25.51
5050-1,Service Packs,Town,1993,3.5,13.24
5053-1,Service Packs,,1993,3.5,6.39
5056-1,Service Packs,Space,1993,4.25,26.37
5057-1,Service Packs,Space,1993,3.0,10.96
5117-1,Service Packs,Technic,1993,4.0,11.25
5119-1,Service Packs,,1993,10.0,87.9
5120-1,Service Packs,Technic,1993,5.5,9.57
5235-1,Service Packs,Technic,1993,4.5,7.35
5267-1,Service Packs,Technic,1993,4.0,2.35
5276-1,Service Packs,Technic,1993,4.5,21.42
5277-1,Service Packs,Technic,1993,4.0,8.4
5280-1,Service Packs,Technic,1993,3.25,2.24
5521-1,Model Team,,1993,36.5,299.29
5581-1,Model Team,,1993,79.0,540.0
6020-1,Castle,Dragon Knights,1993,4.5,112.5
6043-1,Castle,Dragon Knights,1993,12.0,78.76
6048-1,Castle,Dragon Knights,1993,26.0,229.85
6056-1,Castle,Dragon Knights,1993,20.0,139.3
6076-1,Castle,Dragon Knights,1993,43.0,420.0
6082-1,Castle,Dragon Knights,1993,64.0,756.06
6105-1,Castle,Accessories,1993,6.75,165.59
6237-1,Pirates,,1993,3.0,101.84
6252-1,Pirates,Accessories,1993,7.25,75.0
