Number,Theme,Subtheme,Year,RRP (USD),Value new (USD),Minifigs,Pieces,Launch date,Retired Date
819-1,Basic,Supplementaries,1991,5.5,6.26,,1.0,,
1475-1,Town,Flight,1991,10.0,165.9,2.0,123.0,,
2660-1,Duplo,,1991,5.25,13.5,,5.0,,
2671-1,Duplo,,1991,13.25,22.74,2.0,7.0,,
4011-1,Boats,,1991,19.75,112.94,2.0,90.0,,
4021-1,Boats,,1991,34.0,249.95,3.0,195.0,,
4031-1,Boats,,1991,52.0,239.27,4.0,361.0,,
4515-1,Trains,9V,1991,12.99,50.3,,8.0,,
4520-1,Trains,9V,1991,12.99,16.01,,8.0,,
4531-1,Trains,9V,1991,27.99,45.75,,6.0,,
4536-1,Trains,9V,1991,15.0,154.17,,166.0,,
4539-1,Trains,9V,1991,25.0,210.0,1.0,110.0,,
4543-1,Trains,9V,1991,22.0,358.69,1.0,178.0,,
4546-1,Trains,9V,1991,10.0,107.28,1.0,77.0,,
4548-1,Trains,9V,1991,41.99,89.94,,3.0,,
4554-1,Trains,9V,1991,72.0,550.0,8.0,600.0,,
4558-1,Trains,9V,1991,149.0,953.25,11.0,784.0,,
4563-1,Trains,9V,1991,120.0,497.26,3.0,476.0,,
5042-1,Service Packs,,1991,2.5,13.99,,50.0,,
5043-1,Service Packs,,1991,2.5,14.55,,26.0,,
5099-1,Service Packs,Technic,1991,2.25,3.96,,1.0,,
5114-1,Service Packs,,1991,16.0,17.37,,1.0,,
5115-1,Service Packs,,1991,11.0,16.85,,1.0,,
5155-1,Service Packs,,1991,3.5,9.21,,19.0,,
5156-1,Service Packs,,1991,3.5,26.08,,17.0,,
5157-1,Service Packs,,1991,3.5,24.79,,32.0,,
5158-1,Service Packs,Town,1991,6.0,15.64,,2.0,,
5164-1,Service Packs,,1991,2.5,11.62,,17.0,,
5165-1,Service Packs,,1991,3.0,20.0,,31.0,,
5272-1,Service Packs,Technic,1991,3.0,3.67,,9.0,,
5300-1,Service Packs,Trains,1991,25.0,54.2,,3.0,,
5550-1,Model Team,,1991,49.5,345.03,,525.0,,
6234-1,Pirates,,1991,3.25,119.11,1.0,38.0,,
6259-1,Pirates,Imperial Guards,1991,8.75,215.0,3.0,68.0,,
6267-1,Pirates,Imperial Guards,1991,29.0,469.4,5.0,193.0,,
6273-1,Pirates,,1991,66.0,1300.0,7.0,381.0,,
6347-1,Town,Monorail,1991,35.0,373.89,,54.0,,
6353-1,Town,Coastguard,1991,19.0,242.21,2.0,185.0,,
6430-1,Town,Police,1991,25.0,268.27,1.0,140.0,,
6440-1,Town,Fire,1991,27.5,250.0,2.0,159.0,,
6510-1,Town,Vehicles,1991,3.25,30.5,1.0,34.0,,
6540-1,Town,Police,1991,44.0,424.79,4.0,352.0,,
6541-1,Town,Boats,1991,63.75,369.0,5.0,545.0,,
6646-1,Town,Racing,1991,6.75,68.99,1.0,65.0,,
6669-1,Town,Vehicles,1991,8.75,39.4,1.0,90.0,,
6679-1,Town,Boats,1991,7.74,64.52,2.0,83.0,,
6878-1,Space,Blacktron 2,1991,8.0,61.24,1.0,69.0,,
6887-1,Space,Blacktron 2,1991,7.93,250.0,1.0,100.0,,
6933-1,Space,Blacktron 2,1991,25.0,500.0,2.0,208.0,,
6988-1,Space,Blacktron 2,1991,80.0,736.25,5.0,406.0,,
8810-1,Technic,,1991,10.0,34.02,,80.0,,
8838-1,Technic,,1991,29.75,110.0,,251.0,,
846-1,Basic,Supplementaries,1992,18.0,59.3,,39.0,,
1462-1,Space,Blacktron 2,1992,2.0,60.0,1.0,23.0,,
1463-1,Castle,Crusaders,1992,2.0,40.0,1.0,23.0,,
1891-1,Assorted,Bonus/Value Pack,1992,12.0,49.0,5.0,160.0,,
2304-1,Duplo,,1992,14.99,10.49,,1.0,,
2930-1,Duplo,Toolo,1992,30.0,52.61,2.0,29.0,,
2940-1,Duplo,Toolo,1992,45.0,91.08,2.0,34.0,,
5098-1,Service Packs,Toolo,1992,2.75,4.23,,1.0,,
5116-1,Service Packs,Technic,1992,3.25,9.27,,1.0,,
5274-1,Service Packs,,1992,4.5,7.38,,16.0,,
5301-1,Service Packs,Trains,1992,3.0,24.01,,1.0,,
5302-1,Service Packs,Trains,1992,2.0,13.19,,2.0,,
5303-1,Service Packs,Trains,1992,3.0,10.97,,6.0,,
5304-1,Service Packs,Trains,1992,3.0,8.23,,2.0,,
5305-1,Service Packs,Trains,1992,6.0,39.95,,1.0,,
6009-1,Castle,Black Knights,1992,3.25,119.79,1.0,24.0,,
6038-1,Castle,Wolfpack,1992,8.0,159.6,2.0,100.0,,
6057-1,Castle,Black Knights,1992,16.5,250.0,5.0,126.0,,
6075-1,Castle,Wolfpack,1992,29.75,434.11,4.0,236.0,,
6086-1,Castle,Black Knights,1992,85.0,430.0,12.0,588.0,,
6247-1,Pirates,Imperial Guards,1992,4.75,116.17,3.0,36.0,,
6258-1,Pirates,,1992,9.25,125.36,3.0,70.0,,
6261-1,Pirates,,1992,13.25,192.9,3.0,81.0,,
6271-1,Pirates,Imperial Guards,1992,50.0,1093.19,4.0,317.0,,
6277-1,Pirates,Imperial Guards,1992,85.0,1466.33,9.0,608.0,,
6314-1,Town,Accessories,1992,7.25,31.56,6.0,33.0,,
6346-1,Town,Flight,1992,38.5,395.19,5.0,408.0,,
6351-1,Town,Leisure,1992,19.0,135.2,2.0,188.0,,
6397-1,Town,Shops and Services,1992,52.0,175.0,3.0,470.0,,
6401-1,Town,Paradisa,1992,6.75,50.07,2.0,45.0,,
6405-1,Town,Paradisa,1992,16.0,79.33,2.0,133.0,,
6411-1,Town,Paradisa,1992,29.75,286.02,5.0,168.0,,
6416-1,Town,Paradisa,1992,38.5,396.69,4.0,229.0,,
6419-1,Town,Paradisa,1992,46.0,358.36,3.0,364.0,,
6511-1,Town,Fire,1992,7.0,22.72,1.0,38.0,,
6512-1,Town,Construction,1992,3.25,32.45,1.0,37.0,,
6533-1,Town,Police,1992,4.75,45.59,1.0,62.0,,
6534-1,Town,Leisure,1992,4.75,36.61,1.0,44.0,,
6551-1,Town,Racing,1992,26.5,139.15,6.0,193.0,,
6594-1,Town,Vehicles,1992,13.25,130.62,1.0,124.0,,
6648-1,Town,Racing,1992,7.25,24.69,1.0,62.0,,
6662-1,Town,Construction,1992,7.25,70.19,1.0,85.0,,
6668-1,Town,Maintenance,1992,9.25,138.82,1.0,109.0,,
6897-1,Space,Space Police 2,1992,21.0,221.24,2.0,140.0,,
6957-1,Space,Space Police 2,1992,36.0,199.0,3.0,255.0,,
6984-1,Space,Space Police 2,1992,60.0,1178.3,3.0,406.0,,
8826-1,Technic,,1992,10.0,26.9,,95.0,,
8828-1,Technic,,1992,21.0,59.49,,175.0,,
8836-1,Technic,,1992,29.75,54.31,,273.0,,
8837-1,Technic,,1992,47.0,119.99,,257.0,,
8839-1,Technic,,1992,59.5,128.21,,532.0,,
8868-1,Technic,,1992,139.0,683.43,,954.0,,
9604-1,Dacta,,1992,36.95,72.15,,124.0,,
1547-1,Castle,Black Knights,1993,4.25,81.0,2.0,58.0,,
1596-1,Castle,Wolfpack,1993,4.25,321.42,2.0,37.0,,
1597-1,Castle,Bonus/Value Pack,1993,8.0,550.0,,117.0,,
1916-1,Space,Space Police 2,1993,2.0,38.13,1.0,23.0,,
1967-1,Assorted,Bonus/Value Pack,1993,10.0,180.0,,156.0,,
1992-1,Town,Racing,1993,7.75,16.98,2.0,104.0,,
2733-1,Duplo,Trains,1993,20.0,55.0,1.0,9.0,,
2734-1,Duplo,Trains,1993,4.99,11.77,,6.0,,
2735-1,Duplo,Trains,1993,4.99,10.93,,6.0,,
2736-1,Duplo,Trains,1993,12.0,22.2,,4.0,,
2737-1,Duplo,Trains,1993,9.0,24.71,,9.0,,
2740-1,Duplo,Trains,1993,10.0,16.29,,7.0,,
4537-1,Trains,9V,1993,23.0,240.98,1.0,174.0,,
4547-1,Trains,9V,1993,37.5,630.59,5.0,293.0,,
