Number,Theme,Subtheme,Year,RRP (USD),Value used (USD)
1475-1,Town,Flight,1991,10.0,49.8
1881-1,Basic,,1991,15.0,13.95
2306-1,Duplo,,1991,12.0,5.61
2654-1,Duplo,,1991,8.0,11.83
2660-1,Duplo,,1991,5.25,6.15
2671-1,Duplo,,1991,13.25,15.96
4011-1,Boats,,1991,19.75,14.56
4021-1,Boats,,1991,34.0,42.93
4031-1,Boats,,1991,52.0,62.63
4515-1,Trains,9V,1991,12.99,33.74
4520-1,Trains,9V,1991,12.99,5.72
4531-1,Trains,9V,1991,27.99,27.97
4536-1,Trains,9V,1991,15.0,83.33
4539-1,Trains,9V,1991,25.0,54.42
4543-1,Trains,9V,1991,22.0,63.63
4546-1,Trains,9V,1991,10.0,24.18
4548-1,Trains,9V,1991,41.99,52.12
4554-1,Trains,9V,1991,72.0,177.16
4558-1,Trains,9V,1991,149.0,344.39
4563-1,Trains,9V,1991,120.0,182.31
5099-1,Service Packs,Technic,1991,2.25,1.29
5114-1,Service Packs,,1991,16.0,6.87
5115-1,Service Packs,,1991,11.0,15.67
5158-1,Service Packs,Town,1991,6.0,12.56
5300-1,Service Packs,Trains,1991,25.0,57.22
5550-1,Model Team,,1991,49.5,72.48
6234-1,Pirates,,1991,3.25,10.26
6259-1,Pirates,Imperial Guards,1991,8.75,35.24
6267-1,Pirates,Imperial Guards,1991,29.0,103.72
6273-1,Pirates,,1991,66.0,255.35
6347-1,Town,Monorail,1991,35.0,266.86
6353-1,Town,Coastguard,1991,19.0,23.99
6430-1,Town,Police,1991,25.0,23.24
6440-1,Town,Fire,1991,27.5,80.49
6510-1,Town,Vehicles,1991,3.25,9.6
6540-1,Town,Police,1991,44.0,66.18
6541-1,Town,Boats,1991,63.75,165.57
6646-1,Town,Racing,1991,6.75,9.93
6669-1,Town,Vehicles,1991,8.75,12.37
6679-1,Town,Boats,1991,7.74,8.34
6878-1,Space,Blacktron 2,1991,8.0,26.17
6887-1,Space,Blacktron 2,1991,7.93,39.96
6933-1,Space,Blacktron 2,1991,25.0,81.45
6988-1,Space,Blacktron 2,1991,80.0,237.51
8810-1,Technic,,1991,10.0,5.79
8838-1,Technic,,1991,29.75,24.84
846-1,Basic,Supplementaries,1992,18.0,17.8
1462-1,Space,Blacktron 2,1992,2.0,13.85
1463-1,Castle,Crusaders,1992,2.0,13.24
1891-1,Assorted,Bonus/Value Pack,1992,12.0,72.91
1896-1,Town,Emergency,1992,27.5,40.0
2304-1,Duplo,,1992,14.99,9.0
2910-1,Duplo,Toolo,1992,17.5,17.56
2920-1,Duplo,Toolo,1992,25.0,30.14
2930-1,Duplo,Toolo,1992,30.0,68.52
2940-1,Duplo,Toolo,1992,45.0,50.0
5098-1,Service Packs,Toolo,1992,2.75,3.43
5303-1,Service Packs,Trains,1992,3.0,7.04
5304-1,Service Packs,Trains,1992,3.0,8.0
5305-1,Service Packs,Trains,1992,6.0,43.44
6009-1,Castle,Black Knights,1992,3.25,19.24
6038-1,Castle,Wolfpack,1992,8.0,37.11
6057-1,Castle,Black Knights,1992,16.5,62.79
6075-1,Castle,Wolfpack,1992,29.75,115.71
6086-1,Castle,Black Knights,1992,85.0,349.42
6247-1,Pirates,Imperial Guards,1992,4.75,20.14
6258-1,Pirates,,1992,9.25,25.69
6261-1,Pirates,,1992,13.25,44.83
6271-1,Pirates,Imperial Guards,1992,50.0,239.0
6277-1,Pirates,Imperial Guards,1992,85.0,386.67
6314-1,Town,Accessories,1992,7.25,14.93
6346-1,Town,Flight,1992,38.5,50.62
6351-1,Town,Leisure,1992,19.0,28.78
6397-1,Town,Shops and Services,1992,52.0,73.87
6401-1,Town,Paradisa,1992,6.75,11.62
6405-1,Town,Paradisa,1992,16.0,21.36
6411-1,Town,Paradisa,1992,29.75,61.94
6416-1,Town,Paradisa,1992,38.5,109.1
6419-1,Town,Paradisa,1992,46.0,68.38
6511-1,Town,Fire,1992,7.0,4.72
6512-1,Town,Construction,1992,3.25,4.56
6533-1,Town,Police,1992,4.75,4.78
6534-1,Town,Leisure,1992,4.75,7.87
6551-1,Town,Racing,1992,26.5,28.29
6594-1,Town,Vehicles,1992,13.25,21.21
6648-1,Town,Racing,1992,7.25,11.61
6662-1,Town,Construction,1992,7.25,12.63
6668-1,Town,Maintenance,1992,9.25,18.0
6897-1,Space,Space Police 2,1992,21.0,36.81
6957-1,Space,Space Police 2,1992,36.0,83.69
6984-1,Space,Space Police 2,1992,60.0,165.3
8826-1,Technic,,1992,10.0,6.08
8828-1,Technic,,1992,21.0,16.31
8836-1,Technic,,1992,29.75,17.15
8837-1,Technic,,1992,47.0,49.91
8839-1,Technic,,1992,59.5,82.92
8868-1,Technic,,1992,139.0,176.62
9604-1,Dacta,,1992,36.95,89.99
9876-1,Dacta,,1992,8.75,9.99
345-2,Basic,,1993,17.0,29.34
1547-1,Castle,Black Knights,1993,4.25,34.13
1596-1,Castle,Wolfpack,1993,4.25,35.04
1597-1,Castle,Bonus/Value Pack,1993,8.0,40.0
1916-1,Space,Space Police 2,1993,2.0,23.21
1967-1,Assorted,Bonus/Value Pack,1993,10.0,80.0
1992-1,Town,Racing,1993,7.75,10.12
2730-1,Duplo,Trains,1993,85.0,17.79
2732-1,Duplo,Trains,1993,43.0,25.91
2733-1,Duplo,Trains,1993,20.0,20.54
2734-1,Duplo,Trains,1993,4.99,6.87
2735-1,Duplo,Trains,1993,4.99,5.61
2736-1,Duplo,Trains,1993,12.0,13.6
2737-1,Duplo,Trains,1993,9.0,11.71
2740-1,Duplo,Trains,1993,10.0,12.75
4537-1,Trains,9V,1993,23.0,64.65
4547-1,Trains,9V,1993,37.5,259.12
4549-1,Trains,9V,1993,52.0,132.07
5011-1,Service Packs,,1993,27.0,8.14
5047-1,Service Packs,,1993,3.5,12.37
5119-1,Service Packs,,1993,10.0,33.68
5120-1,Service Packs,Technic,1993,5.5,6.63
5521-1,Model Team,,1993,36.5,71.02
5581-1,Model Team,,1993,79.0,157.3
6020-1,Castle,Dragon Knights,1993,4.5,18.14
6043-1,Castle,Dragon Knights,1993,12.0,26.81
6048-1,Castle,Dragon Knights,1993,26.0,65.9
6056-1,Castle,Dragon Knights,1993,20.0,41.22
6076-1,Castle,Dragon Knights,1993,43.0,103.28
6082-1,Castle,Dragon Knights,1993,64.0,152.36
6105-1,Castle,Accessories,1993,6.75,33.62
6237-1,Pirates,,1993,3.0,22.42
6252-1,Pirates,Accessories,1993,7.25,32.52
6266-1,Pirates,Imperial Guards,1993,17.5,52.98
6268-1,Pirates,,1993,39.75,125.97
6286-1,Pirates,,1993,126.5,656.53
6319-1,Town,Accessories,1993,4.5,20.72
6342-1,Town,Coastguard,1993,17.5,15.33
6344-1,Town,Police,1993,21.0,16.75
6345-1,Town,Flight,1993,34.0,49.82
6398-1,Town,Police,1993,73.0,89.46
6403-1,Town,Paradisa,1993,13.25,24.3
6409-1,Town,Paradisa,1993,21.0,57.37
6513-1,Town,Boats,1993,3.25,5.37
6536-1,Town,Flight,1993,4.5,6.3
6539-1,Town,Racing,1993,42.0,59.35
6552-1,Town,Leisure,1993,29.75,56.77
6663-1,Town,Vehicles,1993,7.25,8.29
6664-1,Town,Police,1993,7.25,8.43
6667-1,Town,Maintenance,1993,9.25,14.72
6670-1,Town,Vehicles,1993,9.25,11.47
6813-1,Space,Space Police 2,1993,3.0,7.48
6814-1,Space,Ice Planet 2002,1993,3.0,8.24
6834-1,Space,Ice Planet 2002,1993,4.0,12.07
6852-1,Space,Space Police 2,1993,6.0,13.84
6879-1,Space,Ice Planet 2002,1993,8.0,20.47
6898-1,Space,Ice Planet 2002,1993,15.0,35.59
6973-1,Space,Ice Planet 2002,1993,45.0,135.32
6983-1,Space,Ice Planet 2002,1993,60.0,147.31
8022-1,Technic,Universal,1993,15.5,10.43
8042-1,Technic,Universal,1993,38.5,36.21
8082-1,Technic,Universal,1993,99.0,107.18
8714-1,Technic,Supplementary,1993,9.0,27.98
8818-1,Technic,,1993,13.25,7.5
8824-1,Technic,,1993,25.5,12.61
8872-1,Technic,,1993,82.0,71.75
9365-1,Dacta,,1993,69.0,87.09
9610-1,Dacta,Technic,1993,12.5,19.5
9612-1,Dacta,Technic,1993,15.0,13.18
9614-1,Dacta,Technic,1993,15.0,16.0
1782-1,Town,Divers,1997,50.0,89.99
1783-1,Primo,,1997,1.0,0.95
2089-1,Primo,,1997,20.0,19.85
2095-1,Primo,,1997,5.0,9.33
2096-1,Primo,,1997,9.0,5.9
2097-1,Primo,,1997,10.0,12.0
2126-1,Trains,9V,1997,69.5,187.6
2129-1,Technic,,1997,7.0,7.37
2147-1,Town,Special,1997,28.0,14.14
2148-1,Town,Vehicles,1997,11.0,42.85
2151-1,Space,RoboForce,1997,12.0,26.13
2152-1,Space,RoboForce,1997,20.0,44.72
2153-1,Space,RoboForce,1997,30.0,35.5
2154-1,Space,RoboForce,1997,36.0,86.56
2160-1,Aquazone,Aquaraiders,1997,15.0,24.5
2161-1,Aquazone,Aquaraiders,1997,25.0,29.41
2162-1,Aquazone,Aquaraiders,1997,40.0,47.25
2261-1,Duplo,,1997,4.0,8.2
2601-1,Duplo,,1997,7.0,14.53
2602-1,Duplo,,1997,18.0,35.73
2603-1,Duplo,,1997,20.0,69.99
2604-1,Duplo,,1997,70.0,67.21
2606-1,Duplo,,1997,8.75,8.22
2687-1,Duplo,,1997,52.0,80.85
2845-1,Western,Indians,1997,0.0,5.88
2846-1,Western,Indians,1997,0.0,11.59
2878-1,Basic,Seasonal,1997,2.0,2.75
2886-1,Town,Racing,1997,2.0,2.57
3200-1,Scala,Dolls,1997,16.5,36.65
3241-1,Scala,Dolls,1997,22.0,39.05
3243-1,Scala,Dolls,1997,26.5,57.77
3270-1,Scala,Dolls,1997,76.0,167.23
4137-1,Freestyle,,1997,15.0,5.94
4157-1,Freestyle,,1997,1.5,1.0
4158-1,Freestyle,,1997,6.0,16.3
5391-1,Service Packs,,1997,5.0,8.98
5394-1,Service Packs,,1997,4.5,28.14
5561-1,Model Team,,1997,88.0,183.06
6007-1,Castle,Fright Knights,1997,4.5,22.1
6027-1,Castle,Fright Knights,1997,6.75,19.52
6037-1,Castle,Fright Knights,1997,8.0,23.96
6087-1,Castle,Fright Knights,1997,44.0,100.54
6097-1,Castle,Fright Knights,1997,80.0,176.07
6099-1,Castle,Fright Knights,1997,20.0,109.1
6204-1,Pirates,Accessories,1997,6.0,99.45
6249-1,Pirates,,1997,22.0,200.0
6250-1,Pirates,,1997,33.0,339.83
6281-1,Pirates,,1997,73.0,376.79
6320-1,Town,Accessories,1997,6.0,16.97
6321-1,Town,Accessories,1997,6.0,20.0
6322-1,Town,Accessories,1997,6.0,24.24
6323-1,Town,Accessories,1997,6.99,16.97
6406-1,Town,Racing,1997,2.0,2.25
6407-1,Town,Fire,1997,5.5,3.3
6417-1,Town,Paradisa,1997,4.0,19.41
6441-1,Town,Divers,1997,60.0,81.26
6442-1,Town,Divers,1997,20.0,24.22
6444-1,Town,Outback,1997,20.0,32.5
6486-1,Town,Fire,1997,10.0,8.52
6487-1,Town,Outback,1997,6.0,10.35
6489-1,Town,Paradisa,1997,13.25,45.75
6490-1,Town,Outback,1997,15.0,26.89
6495-1,Time Cruisers,Time Twisters,1997,10.0,9.78
6496-1,Time Cruisers,Time Twisters,1997,22.0,35.59
6497-1,Time Cruisers,Time Twisters,1997,38.5,63.07
6499-1,Time Cruisers,Time Twisters,1997,10.0,23.99
6547-1,Town,Paradisa,1997,27.5,103.48
6548-1,Town,City,1997,24.0,36.15
6549-1,Town,Vehicles,1997,30.0,48.5
6550-1,Town,Outback,1997,4.0,4.7
6553-1,Town,Outback,1997,12.0,14.76
6554-1,Town,Fire,1997,44.0,46.15
6555-1,Town,Divers,1997,4.5,7.5
6556-1,Town,Divers,1997,8.75,8.49
6557-1,Town,Divers,1997,22.0,157.62
6558-1,Town,Divers,1997,30.0,36.0
6559-1,Town,Divers,1997,44.0,87.12
6560-1,Town,Divers,1997,79.0,144.99
6564-1,Town,Maintenance,1997,7.25,6.2
6565-1,Town,Construction,1997,16.5,13.47
6566-1,Town,City,1997,15.0,19.55
6599-1,Town,Divers,1997,10.0,30.36
6706-1,Western,Cowboys,1997,6.0,33.84
6709-1,Western,Indians,1997,4.0,20.54
6718-1,Western,Indians,1997,8.0,30.82
6746-1,Western,Indians,1997,20.0,76.29
6748-1,Western,Indians,1997,40.0,186.8
6766-1,Western,Indians,1997,60.0,183.05
6790-1,Western,Cowboys,1997,2.0,9.2
6791-1,Western,Cowboys,1997,2.0,10.66
6799-1,Western,Cowboys,1997,10.0,54.39
6816-1,Space,UFO,1997,2.0,3.96
6818-1,Space,UFO,1997,3.0,5.94
6829-1,Space,UFO,1997,6.0,8.13
6836-1,Space,UFO,1997,4.0,7.93
6900-1,Space,UFO,1997,22.0,35.46
