Number,Theme,Subtheme,Year,RRP (USD),Value used (USD),Minifigs,Pieces,Launch date,Retired Date
1475-1,Town,Flight,1991,10.0,49.8,2.0,123.0,,
1881-1,Basic,,1991,15.0,13.95,1.0,288.0,,
2306-1,Duplo,,1991,12.0,5.61,,1.0,,
2654-1,Duplo,,1991,8.0,11.83,2.0,11.0,,
2660-1,Duplo,,1991,5.25,6.15,,5.0,,
2671-1,Duplo,,1991,13.25,15.96,2.0,7.0,,
4011-1,Boats,,1991,19.75,14.56,2.0,90.0,,
4021-1,Boats,,1991,34.0,42.93,3.0,195.0,,
4031-1,Boats,,1991,52.0,62.63,4.0,361.0,,
4515-1,Trains,9V,1991,12.99,33.74,,8.0,,
4520-1,Trains,9V,1991,12.99,5.72,,8.0,,
4531-1,Trains,9V,1991,27.99,27.97,,6.0,,
4536-1,Trains,9V,1991,15.0,83.33,,166.0,,
4539-1,Trains,9V,1991,25.0,54.42,1.0,110.0,,
4543-1,Trains,9V,1991,22.0,63.63,1.0,178.0,,
4546-1,Trains,9V,1991,10.0,24.18,1.0,77.0,,
4548-1,Trains,9V,1991,41.99,52.12,,3.0,,
4554-1,Trains,9V,1991,72.0,177.16,8.0,600.0,,
4558-1,Trains,9V,1991,149.0,344.39,11.0,784.0,,
4563-1,Trains,9V,1991,120.0,182.31,3.0,476.0,,
5099-1,Service Packs,Technic,1991,2.25,1.29,,1.0,,
5114-1,Service Packs,,1991,16.0,6.87,,1.0,,
5115-1,Service Packs,,1991,11.0,15.67,,1.0,,
5158-1,Service Packs,Town,1991,6.0,12.56,,2.0,,
5300-1,Service Packs,Trains,1991,25.0,57.22,,3.0,,
5550-1,Model Team,,1991,49.5,72.48,,525.0,,
6234-1,Pirates,,1991,3.25,10.26,1.0,38.0,,
6259-1,Pirates,Imperial Guards,1991,8.75,35.24,3.0,68.0,,
6267-1,Pirates,Imperial Guards,1991,29.0,103.72,5.0,193.0,,
6273-1,Pirates,,1991,66.0,255.35,7.0,381.0,,
6347-1,Town,Monorail,1991,35.0,266.86,,54.0,,
6353-1,Town,Coastguard,1991,19.0,23.99,2.0,185.0,,
6430-1,Town,Police,1991,25.0,23.24,1.0,140.0,,
6440-1,Town,Fire,1991,27.5,80.49,2.0,159.0,,
6510-1,Town,Vehicles,1991,3.25,9.6,1.0,34.0,,
6540-1,Town,Police,1991,44.0,66.18,4.0,352.0,,
6541-1,Town,Boats,1991,63.75,165.57,5.0,545.0,,
6646-1,Town,Racing,1991,6.75,9.93,1.0,65.0,,
6669-1,Town,Vehicles,1991,8.75,12.37,1.0,90.0,,
6679-1,Town,Boats,1991,7.74,8.34,2.0,83.0,,
6878-1,Space,Blacktron 2,1991,8.0,26.17,1.0,69.0,,
6887-1,Space,Blacktron 2,1991,7.93,39.96,1.0,100.0,,
6933-1,Space,Blacktron 2,1991,25.0,81.45,2.0,208.0,,
6988-1,Space,Blacktron 2,1991,80.0,237.51,5.0,406.0,,
8810-1,Technic,,1991,10.0,5.79,,80.0,,
8838-1,Technic,,1991,29.75,24.84,,251.0,,
846-1,Basic,Supplementaries,1992,18.0,17.8,,39.0,,
1462-1,Space,Blacktron 2,1992,2.0,13.85,1.0,23.0,,
1463-1,Castle,Crusaders,1992,2.0,13.24,1.0,23.0,,
1891-1,Assorted,Bonus/Value Pack,1992,12.0,72.91,5.0,160.0,,
1896-1,Town,Emergency,1992,27.5,40.0,5.0,291.0,,
2304-1,Duplo,,1992,14.99,9.0,,1.0,,
2910-1,Duplo,Toolo,1992,17.5,17.56,1.0,18.0,,
2920-1,Duplo,Toolo,1992,25.0,30.14,1.0,21.0,,
2930-1,Duplo,Toolo,1992,30.0,68.52,2.0,29.0,,
2940-1,Duplo,Toolo,1992,45.0,50.0,2.0,34.0,,
5098-1,Service Packs,Toolo,1992,2.75,3.43,,1.0,,
5303-1,Service Packs,Trains,1992,3.0,7.04,,6.0,,
5304-1,Service Packs,Trains,1992,3.0,8.0,,2.0,,
5305-1,Service Packs,Trains,1992,6.0,43.44,,1.0,,
6009-1,Castle,Black Knights,1992,3.25,19.24,1.0,24.0,,
6038-1,Castle,Wolfpack,1992,8.0,37.11,2.0,100.0,,
6057-1,Castle,Black Knights,1992,16.5,62.79,5.0,126.0,,
6075-1,Castle,Wolfpack,1992,29.75,115.71,4.0,236.0,,
6086-1,Castle,Black Knights,1992,85.0,349.42,12.0,588.0,,
6247-1,Pirates,Imperial Guards,1992,4.75,20.14,3.0,36.0,,
6258-1,Pirates,,1992,9.25,25.69,3.0,70.0,,
6261-1,Pirates,,1992,13.25,44.83,3.0,81.0,,
6271-1,Pirates,Imperial Guards,1992,50.0,239.0,4.0,317.0,,
6277-1,Pirates,Imperial Guards,1992,85.0,386.67,9.0,608.0,,
6314-1,Town,Accessories,1992,7.25,14.93,6.0,33.0,,
6346-1,Town,Flight,1992,38.5,50.62,5.0,408.0,,
6351-1,Town,Leisure,1992,19.0,28.78,2.0,188.0,,
6397-1,Town,Shops and Services,1992,52.0,73.87,3.0,470.0,,
6401-1,Town,Paradisa,1992,6.75,11.62,2.0,45.0,,
6405-1,Town,Paradisa,1992,16.0,21.36,2.0,133.0,,
6411-1,Town,Paradisa,1992,29.75,61.94,5.0,168.0,,
6416-1,Town,Paradisa,1992,38.5,109.1,4.0,229.0,,
6419-1,Town,Paradisa,1992,46.0,68.38,3.0,364.0,,
6511-1,Town,Fire,1992,7.0,4.72,1.0,38.0,,
6512-1,Town,Construction,1992,3.25,4.56,1.0,37.0,,
6533-1,Town,Police,1992,4.75,4.78,1.0,62.0,,
6534-1,Town,Leisure,1992,4.75,7.87,1.0,44.0,,
6551-1,Town,Racing,1992,26.5,28.29,6.0,193.0,,
6594-1,Town,Vehicles,1992,13.25,21.21,1.0,124.0,,
6648-1,Town,Racing,1992,7.25,11.61,1.0,62.0,,
6662-1,Town,Construction,1992,7.25,12.63,1.0,85.0,,
6668-1,Town,Maintenance,1992,9.25,18.0,1.0,109.0,,
6897-1,Space,Space Police 2,1992,21.0,36.81,2.0,140.0,,
6957-1,Space,Space Police 2,1992,36.0,83.69,3.0,255.0,,
6984-1,Space,Space Police 2,1992,60.0,165.3,3.0,406.0,,
8826-1,Technic,,1992,10.0,6.08,,95.0,,
8828-1,Technic,,1992,21.0,16.31,,175.0,,
8836-1,Technic,,1992,29.75,17.15,,273.0,,
8837-1,Technic,,1992,47.0,49.91,,257.0,,
8839-1,Technic,,1992,59.5,82.92,,532.0,,
8868-1,Technic,,1992,139.0,176.62,,954.0,,
9604-1,Dacta,,1992,36.95,89.99,,124.0,,
9876-1,Dacta,,1992,8.75,9.99,,2.0,,
345-2,Basic,,1993,17.0,29.34,,131.0,,
1547-1,Castle,Black Knights,1993,4.25,34.13,2.0,58.0,,
1596-1,Castle,Wolfpack,1993,4.25,35.04,2.0,37.0,,
1597-1,Castle,Bonus/Value Pack,1993,8.0,40.0,,117.0,,
1916-1,Space,Space Police 2,1993,2.0,23.21,1.0,23.0,,
1967-1,Assorted,Bonus/Value Pack,1993,10.0,80.0,,156.0,,
1992-1,Town,Racing,1993,7.75,10.12,2.0,104.0,,
2730-1,Duplo,Trains,1993,85.0,17.79,2.0,54.0,,
2732-1,Duplo,Trains,1993,43.0,25.91,3.0,46.0,,
2733-1,Duplo,Trains,1993,20.0,20.54,1.0,9.0,,
2734-1,Duplo,Trains,1993,4.99,6.87,,6.0,,
2735-1,Duplo,Trains,1993,4.99,5.61,,6.0,,
2736-1,Duplo,Trains,1993,12.0,13.6,,4.0,,
2737-1,Duplo,Trains,1993,9.0,11.71,,9.0,,
2740-1,Duplo,Trains,1993,10.0,12.75,,7.0,,
4537-1,Trains,9V,1993,23.0,64.65,1.0,174.0,,
4547-1,Trains,9V,1993,37.5,259.12,5.0,293.0,,
4549-1,Trains,9V,1993,52.0,132.07,2.0,451.0,,
5011-1,Service Packs,,1993,27.0,8.14,,1.0,,
5047-1,Service Packs,,1993,3.5,12.37,,27.0,,
5119-1,Service Packs,,1993,10.0,33.68,,4.0,,
5120-1,Service Packs,Technic,1993,5.5,6.63,,3.0,,
5521-1,Model Team,,1993,36.5,71.02,,401.0,,
5581-1,Model Team,,1993,79.0,157.3,,784.0,,
6020-1,Castle,Dragon Knights,1993,4.5,18.14,1.0,47.0,,
6043-1,Castle,Dragon Knights,1993,12.0,26.81,2.0,157.0,,
6048-1,Castle,Dragon Knights,1993,26.0,65.9,2.0,185.0,,
6056-1,Castle,Dragon Knights,1993,20.0,41.22,2.0,105.0,,
6076-1,Castle,Dragon Knights,1993,43.0,103.28,4.0,214.0,,
6082-1,Castle,Dragon Knights,1993,64.0,152.36,6.0,397.0,,
6105-1,Castle,Accessories,1993,6.75,33.62,4.0,41.0,,
6237-1,Pirates,,1993,3.0,22.42,2.0,21.0,,
6252-1,Pirates,Accessories,1993,7.25,32.52,4.0,32.0,,
6266-1,Pirates,Imperial Guards,1993,17.5,52.98,3.0,106.0,,
6268-1,Pirates,,1993,39.75,125.97,4.0,178.0,,
6286-1,Pirates,,1993,126.5,656.53,9.0,912.0,,
6319-1,Town,Accessories,1993,4.5,20.72,,37.0,,
6342-1,Town,Coastguard,1993,17.5,15.33,3.0,147.0,,
6344-1,Town,Police,1993,21.0,16.75,2.0,157.0,,
6345-1,Town,Flight,1993,34.0,49.82,6.0,351.0,,
6398-1,Town,Police,1993,73.0,89.46,5.0,615.0,,
6403-1,Town,Paradisa,1993,13.25,24.3,3.0,94.0,,
6409-1,Town,Paradisa,1993,21.0,57.37,5.0,145.0,,
6513-1,Town,Boats,1993,3.25,5.37,1.0,31.0,,
6536-1,Town,Flight,1993,4.5,6.3,1.0,48.0,,
6539-1,Town,Racing,1993,42.0,59.35,4.0,458.0,,
6552-1,Town,Leisure,1993,29.75,56.77,2.0,241.0,,
6663-1,Town,Vehicles,1993,7.25,8.29,1.0,79.0,,
6664-1,Town,Police,1993,7.25,8.43,2.0,67.0,,
6667-1,Town,Maintenance,1993,9.25,14.72,1.0,97.0,,
6670-1,Town,Vehicles,1993,9.25,11.47,1.0,114.0,,
6813-1,Space,Space Police 2,1993,3.0,7.48,1.0,24.0,,
6814-1,Space,Ice Planet 2002,1993,3.0,8.24,1.0,25.0,,
6834-1,Space,Ice Planet 2002,1993,4.0,12.07,1.0,55.0,,
6852-1,Space,Space Police 2,1993,6.0,13.84,1.0,61.0,,
6879-1,Space,Ice Planet 2002,1993,8.0,20.47,1.0,82.0,,
6898-1,Space,Ice Planet 2002,1993,15.0,35.59,1.0,135.0,,
6973-1,Space,Ice Planet 2002,1993,45.0,135.32,3.0,417.0,,
6983-1,Space,Ice Planet 2002,1993,60.0,147.31,3.0,343.0,,
8022-1,Technic,Universal,1993,15.5,10.43,,118.0,,
8042-1,Technic,Universal,1993,38.5,36.21,,230.0,,
8082-1,Technic,Universal,1993,99.0,107.18,,459.0,,
8714-1,Technic,Supplementary,1993,9.0,27.98,3.0,9.0,,
8818-1,Technic,,1993,13.25,7.5,,120.0,,
8824-1,Technic,,1993,25.5,12.61,,194.0,,
8872-1,Technic,,1993,82.0,71.75,,763.0,,
9365-1,Dacta,,1993,69.0,87.09,13.0,739.0,,
9610-1,Dacta,Technic,1993,12.5,19.5,2.0,67.0,,
9612-1,Dacta,Technic,1993,15.0,13.18,,62.0,,
9614-1,Dacta,Technic,1993,15.0,16.0,,77.0,,
1782-1,Town,Divers,1997,50.0,89.99,5.0,322.0,,
1783-1,Primo,,1997,1.0,0.95,,2.0,,
2089-1,Primo,,1997,20.0,19.85,1.0,23.0,,
2095-1,Primo,,1997,5.0,9.33,,2.0,,
2096-1,Primo,,1997,9.0,5.9,,6.0,,
2097-1,Primo,,1997,10.0,12.0,,3.0,,
2126-1,Trains,9V,1997,69.5,187.6,5.0,378.0,,
2129-1,Technic,,1997,7.0,7.37,,63.0,01/01/1997,31/12/1998
2147-1,Town,Special,1997,28.0,14.14,2.0,183.0,01/01/1997,31/12/2000
2148-1,Town,Vehicles,1997,11.0,42.85,1.0,105.0,01/01/1997,31/12/1999
2151-1,Space,RoboForce,1997,12.0,26.13,1.0,136.0,,
2152-1,Space,RoboForce,1997,20.0,44.72,1.0,221.0,,
2153-1,Space,RoboForce,1997,30.0,35.5,2.0,280.0,01/01/1997,01/03/1999
2154-1,Space,RoboForce,1997,36.0,86.56,2.0,366.0,,
2160-1,Aquazone,Aquaraiders,1997,15.0,24.5,1.0,110.0,01/05/1997,31/12/1998
2161-1,Aquazone,Aquaraiders,1997,25.0,29.41,1.0,136.0,01/05/1997,31/12/1998
2162-1,Aquazone,Aquaraiders,1997,40.0,47.25,2.0,287.0,,
2261-1,Duplo,,1997,4.0,8.2,1.0,10.0,,
2601-1,Duplo,,1997,7.0,14.53,,7.0,,
2602-1,Duplo,,1997,18.0,35.73,2.0,27.0,,
2603-1,Duplo,,1997,20.0,69.99,2.0,70.0,,
2604-1,Duplo,,1997,70.0,67.21,4.0,58.0,,
2606-1,Duplo,,1997,8.75,8.22,1.0,6.0,,
2687-1,Duplo,,1997,52.0,80.85,3.0,47.0,,
2845-1,Western,Indians,1997,0.0,5.88,1.0,20.0,,
2846-1,Western,Indians,1997,0.0,11.59,1.0,18.0,,
2878-1,Basic,Seasonal,1997,2.0,2.75,,16.0,,
2886-1,Town,Racing,1997,2.0,2.57,,25.0,,
3200-1,Scala,Dolls,1997,16.5,36.65,1.0,31.0,,
3241-1,Scala,Dolls,1997,22.0,39.05,2.0,54.0,,
3243-1,Scala,Dolls,1997,26.5,57.77,2.0,92.0,,
3270-1,Scala,Dolls,1997,76.0,167.23,1.0,120.0,,
4137-1,Freestyle,,1997,15.0,5.94,,131.0,,
4157-1,Freestyle,,1997,1.5,1.0,,33.0,,
4158-1,Freestyle,,1997,6.0,16.3,1.0,128.0,,
5391-1,Service Packs,,1997,5.0,8.98,,1.0,,
5394-1,Service Packs,,1997,4.5,28.14,,12.0,,
5561-1,Model Team,,1997,88.0,183.06,,761.0,,
6007-1,Castle,Fright Knights,1997,4.5,22.1,1.0,12.0,,
6027-1,Castle,Fright Knights,1997,6.75,19.52,2.0,55.0,01/01/1997,31/12/1998
6037-1,Castle,Fright Knights,1997,8.0,23.96,1.0,56.0,01/01/1997,31/12/1998
6087-1,Castle,Fright Knights,1997,44.0,100.54,6.0,250.0,01/01/1997,31/12/1998
6097-1,Castle,Fright Knights,1997,80.0,176.07,8.0,601.0,01/01/1997,31/12/1998
6099-1,Castle,Fright Knights,1997,20.0,109.1,3.0,140.0,,
6204-1,Pirates,Accessories,1997,6.0,99.45,5.0,36.0,,
6249-1,Pirates,,1997,22.0,200.0,3.0,156.0,,
6250-1,Pirates,,1997,33.0,339.83,3.0,154.0,,
6281-1,Pirates,,1997,73.0,376.79,6.0,395.0,,
6320-1,Town,Accessories,1997,6.0,16.97,,2.0,,
6321-1,Town,Accessories,1997,6.0,20.0,,2.0,,
6322-1,Town,Accessories,1997,6.0,24.24,,2.0,,
6323-1,Town,Accessories,1997,6.99,16.97,,2.0,,
6406-1,Town,Racing,1997,2.0,2.25,1.0,22.0,,
6407-1,Town,Fire,1997,5.5,3.3,1.0,24.0,01/05/1997,31/12/1998
6417-1,Town,Paradisa,1997,4.0,19.41,1.0,36.0,01/01/1997,31/12/1997
6441-1,Town,Divers,1997,60.0,81.26,5.0,433.0,01/01/1997,31/12/1998
6442-1,Town,Divers,1997,20.0,24.22,3.0,147.0,01/01/1997,31/12/1998
6444-1,Town,Outback,1997,20.0,32.5,3.0,167.0,,
6486-1,Town,Fire,1997,10.0,8.52,1.0,64.0,01/05/1997,31/12/1998
6487-1,Town,Outback,1997,6.0,10.35,1.0,67.0,01/01/1997,31/12/1998
6489-1,Town,Paradisa,1997,13.25,45.75,2.0,84.0,,
6490-1,Town,Outback,1997,15.0,26.89,1.0,117.0,,
